Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,AverageCost,Average Faculty Salary,ExpenditurePerStudent,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,MedianDebtOnGraduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,MeanEarnings8YearsAfterEntry,MedianEarnings8YearsAfterEntry,Rank
Princeton University,3,4,Private,Mid-Atlantic,Large Suburb,0.0741,33,1495,5234,0.4713,0.0764,0.081,0.2008,0.0008,0.0006,0.0417,0.1087,0,55430,48021,15711,0.8485,0.1218,0.9694,0.9757,0.0041,2.3,7500,6810,8375,0.680000007,0.550000012,20.04000092,89090.02,50686,6.769999981,38,258,101500,66500,1
Harvard University,3,4,Private,New England,Mid-size City,0.0584,34,1501,7278,0.4624,0.0653,0.0933,0.1777,0.0022,0.0008,0.0599,0.1028,0.0503,57950,47083,17861,0.8595,0.1016,0.9747,0.9706,0.2342,1.9,7500,6000,12500,0.899999976,0.230000004,23.64999962,60645.79,33323.5,7.769999981,186,1600,118700,77600,2
Columbia University in the City of New York,3,4,Private,Mid-Atlantic,Large City,0.0742,33,1471,7970,0.3922,0.0749,0.1358,0.1709,0.0055,0.0014,0.0449,0.1368,0.0748,61540,78147,15706,0.5324,0.2154,0.9329,0.9734,0.1744,2,17125,19435,14500,0.980000019,0.209999993,23.76000023,59265.49,30939,8.779999733,320,2328,92500,69500,3
Massachusetts Institute of Technology,3,4,Private,New England,Mid-size City,0.0815,34,1503,4510,0.3707,0.053,0.1643,0.2404,0.0027,0,0.0508,0.096,0.0055,57010,58223,15617,0.9862,0.1825,0.9307,0.9788,0.0068,1.7,13000,13645,10515,0.920000017,0.319999993,21.01000023,95848.89,79076,7.349999905,86,810,125100,86900,4
University of Chicago,3,4,Private,Great Lakes,Large City,0.0881,34,1504,5697,0.4546,0.0453,0.0869,0.1813,0.0018,0.0005,0.0374,0.0937,0.0128,62425,74864,16589,0.8076,0.1419,0.9268,0.9934,0.0016,1.4,17610,18625,15133.5,0.980000019,0.209999993,21.80999947,75760.31,53224,7.239999771,150,1233,86100,58700,5
Yale University,3,4,Private,New England,Mid-size City,0.0705,34,1497,5422,0.4734,0.0673,0.1013,0.1645,0.0057,0.0006,0.0598,0.1051,0.0011,59320,106214,16042,0.7281,0.1273,0.9779,0.9867,0.0057,0.9,12000,12000,12775,0.939999998,0.209999993,22.29999924,73769.14,45652.5,7.769999981,123,1206,100000,70600,6
Stanford University,3,4,Private,Far West,Large Suburb,0.0569,33,1466,6980,0.3702,0.063,0.1688,0.1908,0.009,0.0037,0.1079,0.0809,0,58408,88200,19862,0.9786,0.1596,0.9576,0.9858,0.0401,1,11500,12224,9083,0.930000007,0.289999992,21.61000061,83177.59,53935.5,7.550000191,127,1203,109200,76500,7
Duke University,3,4,Private,Southeast,Mid-size City,0.1342,32,1444,6501,0.4861,0.1001,0.0611,0.2124,0.0062,0.0005,0.0174,0.0892,0.0009,59528,51653,14288,0.94,0.1366,0.9423,0.972,0.0038,1.1,6569,6500,7000,0.959999979,0.239999995,21.30999947,92670.02,73265,6.349999905,107,1107,96500,69400,8
University of Pennsylvania,3,4,Private,Mid-Atlantic,Large City,0.1224,32,1442,10606,0.4629,0.0731,0.0998,0.1815,0.0014,0.0006,0.0359,0.1052,0.0437,59600,52081,15460,0.7278,0.1417,0.9569,0.9778,0.0567,1.3,19500,21500,12500,0.980000019,0.180000007,22.21999931,87200.75,62169,7.010000229,250,2466,106600,73200,9
Johns Hopkins University,3,4,Private,Mid-Atlantic,Large City,0.1813,32,1418,5932,0.4872,0.0556,0.1015,0.1861,0.0012,0.0007,0.0406,0.1043,0.0158,58980,75570,10922,0.8637,0.1307,0.9254,0.9704,0.0775,1.7,17500,18500,15504,0.980000019,0.189999998,22.92000008,83968.47,57761.5,6.179999828,135,1250,73800,64400,10
